title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Het gebeurde op 'n avond ,1h 45min,Comedy;Romance,Frank Capra,Robert Riskin;Samuel Hopkins Adams,Clark Gable;Claudette Colbert;Walter Connolly,8.1,"81,715"
In the Name of the Father ,2h 13min,Biography;Drama,Jim Sheridan,Gerry Conlon;Terry George,Daniel Day-Lewis;Pete Postlethwaite;Alison Crosbie,8.1,"136,291"
Platoon ,2h,Drama;War,Oliver Stone,Oliver Stone,Charlie Sheen;Tom Berenger;Willem Dafoe,8.1,"341,175"
The Grand Budapest Hotel ,1h 39min,Adventure;Comedy;Drama,Wes Anderson,Stefan Zweig;Wes Anderson,Ralph Fiennes;F. Murray Abraham;Mathieu Amalric,8.1,"606,549"
Stand by Me ,1h 29min,Adventure;Drama,Rob Reiner,Stephen King;Raynold Gideon,Wil Wheaton;River Phoenix;Corey Feldman,8.1,"323,475"
The Truman Show ,1h 43min,Comedy;Drama;Sci-Fi,Peter Weir,Andrew Niccol,Jim Carrey;Ed Harris;Laura Linney,8.1,"804,221"
Network ,2h 1min,Drama,Sidney Lumet,Paddy Chayefsky,Faye Dunaway;William Holden;Peter Finch,8.1,"126,403"
Stalker ,2h 42min,Drama;Sci-Fi,Andrei Tarkovsky,Arkadiy Strugatskiy;Boris Strugatskiy,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn,8.1,"92,650"
Hotel Rwanda ,2h 1min,Biography;Drama;History,Terry George,Keir Pearson;Terry George,Don Cheadle;Sophie Okonedo;Joaquin Phoenix,8.1,"305,557"
Ben Hur ,3h 32min,Adventure;Drama;History,William Wyler,Lew Wallace;Karl Tunberg,Charlton Heston;Jack Hawkins;Stephen Boyd,8.1,"195,019"
Persona ,1h 25min,Drama;Thriller,Ingmar Bergman,Ingmar Bergman,Bibi Andersson;Liv Ullmann;Margaretha Krook,8.1,"82,386"
Salinui chueok ,2h 11min,Action;Crime;Drama,Joon-ho Bong,Joon-ho Bong;Kwang-rim Kim,Kang-ho Song;Sang-kyung Kim;Roe-ha Kim,8.1,"94,484"
12 Years a Slave ,2h 14min,Biography;Drama;History,Steve McQueen,John Ridley;Solomon Northup,Chiwetel Ejiofor;Michael Kenneth Williams;Michael Fassbender,8.1,"553,899"
Andrei Rublev ,3h 25min,Biography;Drama;History,Andrei Tarkovsky,Andrey Konchalovskiy;Andrei Tarkovsky,Anatoliy Solonitsyn;Ivan Lapikov;Nikolay Grinko,8.2,"36,419"
Million Dollar Baby ,2h 12min,Drama;Sport,Clint Eastwood,Paul Haggis;F.X. Toole,Hilary Swank;Clint Eastwood;Morgan Freeman,8.1,"568,648"
Le salaire de la peur ,2h 11min,Adventure;Drama;Thriller,Henri-Georges Clouzot,Georges Arnaud;Henri-Georges Clouzot,Yves Montand;Charles Vanel;Peter van Eyck,8.1,"46,381"
La passion de Jeanne d'Arc ,1h 50min,Biography;Drama;History,Carl Theodor Dreyer,Joseph Delteil;Carl Theodor Dreyer,Maria Falconetti;Eugene Silvain;André Berley,8.2,"38,497"
Rang De Basanti ,2h 37min,Comedy;Drama,Rakeysh Omprakash Mehra,Renzil D'Silva;Prasoon Joshi,Aamir Khan;Soha Ali Khan;Siddharth,8.2,"96,507"
Rush ,2h 3min,Action;Biography;Drama,Ron Howard,Peter Morgan,Daniel Brühl;Chris Hemsworth;Olivia Wilde,8.1,"379,678"
Mad Max: Fury Road ,2h,Action;Adventure;Sci-Fi,George Miller,George Miller;Brendan McCarthy,Tom Hardy;Charlize Theron;Nicholas Hoult,8.1,"742,315"
Before Sunrise ,1h 41min,Drama;Romance,Richard Linklater,Richard Linklater;Kim Krizan,Ethan Hawke;Julie Delpy;Andrea Eckert,8.1,"228,716"
Les quatre cents coups ,1h 39min,Crime;Drama,François Truffaut,François Truffaut;Marcel Moussy,Jean-Pierre Léaud;Albert Rémy;Claire Maurier,8.1,"88,643"
Spotlight ,2h 9min,Crime;Drama;History,Tom McCarthy,Josh Singer;Tom McCarthy,Mark Ruffalo;Michael Keaton;Rachel McAdams,8.1,"341,404"
Hachi: A Dog's Tale ,1h 33min,Drama;Family,Lasse Hallström,Stephen P. Lindsey;Kaneto Shindô,Richard Gere;Joan Allen;Cary-Hiroyuki Tagawa,8.1,"212,460"
Prisoners ,2h 33min,Crime;Drama;Mystery,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman;Jake Gyllenhaal;Viola Davis,8.1,"502,301"
Logan ,2h 17min,Action;Drama;Sci-Fi,James Mangold,James Mangold;Scott Frank,Hugh Jackman;Patrick Stewart;Dafne Keen,8.1,"517,417"
Amores perros ,2h 34min,Drama;Thriller,Alejandro G. Iñárritu,Guillermo Arriaga,Emilio Echevarría;Gael García Bernal;Goya Toledo,8.1,"201,785"
The Princess Bride ,1h 38min,Adventure;Family;Fantasy,Rob Reiner,William Goldman;William Goldman,Cary Elwes;Mandy Patinkin;Robin Wright,8.1,"345,813"
Kaze no tani no Naushika ,1h 57min,Animation;Adventure;Fantasy,Hayao Miyazaki,Hayao Miyazaki;Hayao Miyazaki,Sumi Shimamoto;Mahito Tsujimura;Hisako Kyôda,8.1,"122,797"
Catch Me If You Can ,2h 21min,Biography;Crime;Drama,Steven Spielberg,Jeff Nathanson;Frank Abagnale Jr.,Leonardo DiCaprio;Tom Hanks;Christopher Walken,8.1,"681,291"
Butch Cassidy and the Sundance Kid ,1h 50min,Biography;Crime;Drama,George Roy Hill,William Goldman,Paul Newman;Robert Redford;Katharine Ross,8.1,"181,282"
Harry Potter and the Deathly Hallows: Part 2 ,2h 10min,Adventure;Drama;Fantasy,David Yates,Steve Kloves;J.K. Rowling,Daniel Radcliffe;Emma Watson;Rupert Grint,8.1,"663,285"
Rocky ,2h,Drama;Sport,John G. Avildsen,Sylvester Stallone,Sylvester Stallone;Talia Shire;Burt Young,8.1,"454,183"
Barry Lyndon ,3h 5min,Adventure;Drama;History,Stanley Kubrick,Stanley Kubrick;William Makepeace Thackeray,Ryan O'Neal;Marisa Berenson;Patrick Magee,8.1,"126,789"
"Monsters, Inc. ",1h 32min,Animation;Adventure;Comedy,Pete Docter;David Silverman,Pete Docter;Jill Culton,Billy Crystal;John Goodman;Mary Gibbs,8.1,"708,703"
The Grapes of Wrath ,2h 9min,Drama;History,John Ford,Nunnally Johnson;John Steinbeck,Henry Fonda;Jane Darwell;John Carradine,8.1,"78,419"
The Maltese Falcon ,1h 40min,Film-Noir;Mystery,John Huston,John Huston;Dashiell Hammett,Humphrey Bogart;Mary Astor;Gladys George,8.1,"136,310"
Donnie Darko ,1h 53min,Drama;Sci-Fi;Thriller,Richard Kelly,Richard Kelly,Jake Gyllenhaal;Jena Malone;Mary McDonnell,8.1,"678,753"
Demonen ,1h 57min,Crime;Drama;Horror,Henri-Georges Clouzot,Pierre Boileau;Thomas Narcejac,Simone Signoret;Véra Clouzot;Paul Meurisse,8.1,"54,437"
The Terminator ,1h 47min,Action;Sci-Fi,James Cameron,James Cameron;Gale Anne Hurd,Arnold Schwarzenegger;Linda Hamilton;Michael Biehn,8.0,"703,844"
Dead Poets Society ,2h 8min,Comedy;Drama,Peter Weir,Tom Schulman,Robin Williams;Robert Sean Leonard;Ethan Hawke,8.1,"348,775"
Gandhi ,3h 11min,Biography;Drama;History,Richard Attenborough,John Briley,Ben Kingsley;John Gielgud;Rohini Hattangadi,8.1,"201,899"
Sanjuro ,1h 36min,Action;Crime;Drama,Akira Kurosawa,Ryûzô Kikushima;Hideo Oguni,Toshirô Mifune;Tatsuya Nakadai;Keiju Kobayashi,8.2,"25,479"
La haine ,1h 38min,Crime;Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel;Hubert Koundé;Saïd Taghmaoui,8.1,"127,542"
Groundhog Day ,1h 41min,Comedy;Fantasy;Romance,Harold Ramis,Danny Rubin;Harold Ramis,Bill Murray;Andie MacDowell;Chris Elliott,8.0,"523,269"
Le notti di Cabiria ,1h 50min,Drama,Federico Fellini,Federico Fellini;Ennio Flaiano,Giulietta Masina;François Périer;Franca Marzi,8.1,"37,093"
Blade Runner 2049 ,2h 44min,Drama;Mystery;Sci-Fi,Denis Villeneuve,Hampton Fancher;Michael Green,Harrison Ford;Ryan Gosling;Ana de Armas,8.0,"341,168"
La La Land ,2h 8min,Comedy;Drama;Music,Damien Chazelle,Damien Chazelle,Ryan Gosling;Emma Stone;Rosemarie DeWitt,8.1,"400,722"
The Wizard of Oz ,1h 42min,Adventure;Family;Fantasy,Victor Fleming;George Cukor,Noel Langley;Florence Ryerson,Judy Garland;Frank Morgan;Ray Bolger,8.0,"340,847"
Jaws ,2h 4min,Adventure;Drama;Thriller,Steven Spielberg,Peter Benchley;Carl Gottlieb,Roy Scheider;Robert Shaw;Richard Dreyfuss,8.0,"493,226"
The Help ,2h 26min,Drama,Tate Taylor,Tate Taylor;Kathryn Stockett,Emma Stone;Viola Davis;Octavia Spencer,8.1,"379,691"
Faa yeung nin wa ,1h 38min,Drama;Romance,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung;Maggie Cheung;Ping Lam Siu,8.1,"100,377"
Paper Moon ,1h 42min,Comedy;Crime;Drama,Peter Bogdanovich,Joe David Brown;Alvin Sargent,Ryan O'Neal;Tatum O'Neal;Madeline Kahn,8.1,"35,884"
Gangs of Wasseypur ,5h 21min,Action;Comedy;Crime,Anurag Kashyap,Akhilesh Jaiswal;Anurag Kashyap,Manoj Bajpayee;Richa Chadha;Nawazuddin Siddiqui,8.2,"65,416"
Mandariinid ,1h 27min,Drama;War,Zaza Urushadze,Tatjana Mülbeier;Zaza Urushadze,Lembit Ulfsak;Elmo Nüganen;Giorgi Nakashidze,8.2,"30,591"
Before Sunset ,1h 20min,Drama;Romance,Richard Linklater,Richard Linklater;Julie Delpy,Ethan Hawke;Julie Delpy;Vernon Dobtcheff,8.1,"199,853"
Ah-ga-ssi ,2h 24min,Drama;Romance;Thriller,Chan-wook Park,Sarah Waters;Seo-kyeong Jeong,Min-hee Kim;Jung-woo Ha;Jin-Woong Cho,8.1,"68,698"
"Paris, Texas ",2h 25min,Drama,Wim Wenders,L.M. Kit Carson;Sam Shepard,Harry Dean Stanton;Nastassja Kinski;Dean Stockwell,8.1,"70,166"
Guardians of the Galaxy ,2h 1min,Action;Adventure;Comedy,James Gunn,James Gunn;Nicole Perlman,Chris Pratt;Vin Diesel;Bradley Cooper,8.1,"883,945"
The Bourne Ultimatum ,1h 55min,Action;Mystery;Thriller,Paul Greengrass,Tony Gilroy;Scott Z. Burns,Matt Damon;Edgar Ramírez;Joan Allen,8.0,"570,114"
Pirates of the Caribbean: The Curse of the Black Pearl ,2h 23min,Action;Adventure;Fantasy,Gore Verbinski,Ted Elliott;Terry Rossio,Johnny Depp;Geoffrey Rush;Orlando Bloom,8.0,"937,977"
A Wednesday ,1h 44min,Crime;Drama;Mystery,Neeraj Pandey,Neeraj Pandey;Neeraj Pandey,Anupam Kher;Naseeruddin Shah;Jimmy Sheirgill,8.2,"65,704"
De beste jaren van ons leven ,2h 50min,Drama;Romance;War,William Wyler,Robert E. Sherwood;MacKinlay Kantor,Myrna Loy;Dana Andrews;Fredric March,8.1,"51,509"
PK ,2h 33min,Comedy;Drama;Sci-Fi,Rajkumar Hirani,Rajkumar Hirani;Abhijat Joshi,Aamir Khan;Anushka Sharma;Sanjay Dutt,8.2,"129,389"
Tenkû no shiro Rapyuta ,2h 5min,Animation;Adventure;Fantasy,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin;James Van Der Beek;Cloris Leachman,8.1,"121,682"
